,Name,Class
0,background_0001.wav,background
1,background_0001_time_stretch_0.wav,background
2,background_0001_time_stretch_1.wav,background
3,background_0001_time_stretch_10.wav,background
4,background_0001_time_stretch_11.wav,background
5,background_0001_time_stretch_12.wav,background
6,background_0001_time_stretch_13.wav,background
7,background_0001_time_stretch_2.wav,background
8,background_0001_time_stretch_3.wav,background
9,background_0001_time_stretch_4.wav,background
10,background_0001_time_stretch_5.wav,background
11,background_0001_time_stretch_6.wav,background
12,background_0001_time_stretch_7.wav,background
13,background_0001_time_stretch_8.wav,background
14,background_0001_time_stretch_9.wav,background
15,background_0002.wav,background
16,background_0002_time_stretch_0.wav,background
17,background_0002_time_stretch_1.wav,background
18,background_0002_time_stretch_10.wav,background
19,background_0002_time_stretch_11.wav,background
20,background_0002_time_stretch_12.wav,background
21,background_0002_time_stretch_13.wav,background
22,background_0002_time_stretch_2.wav,background
23,background_0002_time_stretch_3.wav,background
24,background_0002_time_stretch_4.wav,background
25,background_0002_time_stretch_5.wav,background
26,background_0002_time_stretch_6.wav,background
27,background_0002_time_stretch_7.wav,background
28,background_0002_time_stretch_8.wav,background
29,background_0002_time_stretch_9.wav,background
30,background_0003.wav,background
31,background_0003_time_stretch_0.wav,background
32,background_0003_time_stretch_1.wav,background
33,background_0003_time_stretch_10.wav,background
34,background_0003_time_stretch_11.wav,background
35,background_0003_time_stretch_12.wav,background
36,background_0003_time_stretch_13.wav,background
37,background_0003_time_stretch_2.wav,background
38,background_0003_time_stretch_3.wav,background
39,background_0003_time_stretch_4.wav,background
40,background_0003_time_stretch_5.wav,background
41,background_0003_time_stretch_6.wav,background
42,background_0003_time_stretch_7.wav,background
43,background_0003_time_stretch_8.wav,background
44,background_0003_time_stretch_9.wav,background
45,background_0004.wav,background
46,background_0004_time_stretch_0.wav,background
47,background_0004_time_stretch_1.wav,background
48,background_0004_time_stretch_10.wav,background
49,background_0004_time_stretch_11.wav,background
50,background_0004_time_stretch_12.wav,background
51,background_0004_time_stretch_13.wav,background
52,background_0004_time_stretch_2.wav,background
53,background_0004_time_stretch_3.wav,background
54,background_0004_time_stretch_4.wav,background
55,background_0004_time_stretch_5.wav,background
56,background_0004_time_stretch_6.wav,background
57,background_0004_time_stretch_7.wav,background
58,background_0004_time_stretch_8.wav,background
59,background_0004_time_stretch_9.wav,background
60,background_0005.wav,background
61,background_0005_time_stretch_0.wav,background
62,background_0005_time_stretch_1.wav,background
63,background_0005_time_stretch_10.wav,background
64,background_0005_time_stretch_11.wav,background
65,background_0005_time_stretch_12.wav,background
66,background_0005_time_stretch_13.wav,background
67,background_0005_time_stretch_2.wav,background
68,background_0005_time_stretch_3.wav,background
69,background_0005_time_stretch_4.wav,background
70,background_0005_time_stretch_5.wav,background
71,background_0005_time_stretch_6.wav,background
72,background_0005_time_stretch_7.wav,background
73,background_0005_time_stretch_8.wav,background
74,background_0005_time_stretch_9.wav,background
75,background_0006.wav,background
76,background_0006_time_stretch_0.wav,background
77,background_0006_time_stretch_1.wav,background
78,background_0006_time_stretch_10.wav,background
79,background_0006_time_stretch_11.wav,background
80,background_0006_time_stretch_12.wav,background
81,background_0006_time_stretch_13.wav,background
82,background_0006_time_stretch_2.wav,background
83,background_0006_time_stretch_3.wav,background
84,background_0006_time_stretch_4.wav,background
85,background_0006_time_stretch_5.wav,background
86,background_0006_time_stretch_6.wav,background
87,background_0006_time_stretch_7.wav,background
88,background_0006_time_stretch_8.wav,background
89,background_0006_time_stretch_9.wav,background
90,background_0007.wav,background
91,background_0007_time_stretch_0.wav,background
92,background_0007_time_stretch_1.wav,background
93,background_0007_time_stretch_10.wav,background
94,background_0007_time_stretch_11.wav,background
95,background_0007_time_stretch_12.wav,background
96,background_0007_time_stretch_13.wav,background
97,background_0007_time_stretch_2.wav,background
98,background_0007_time_stretch_3.wav,background
99,background_0007_time_stretch_4.wav,background
100,background_0007_time_stretch_5.wav,background
101,background_0007_time_stretch_6.wav,background
102,background_0007_time_stretch_7.wav,background
103,background_0007_time_stretch_8.wav,background
104,background_0007_time_stretch_9.wav,background
105,background_0008.wav,background
106,background_0008_time_stretch_0.wav,background
107,background_0008_time_stretch_1.wav,background
108,background_0008_time_stretch_10.wav,background
109,background_0008_time_stretch_11.wav,background
110,background_0008_time_stretch_12.wav,background
111,background_0008_time_stretch_13.wav,background
112,background_0008_time_stretch_2.wav,background
113,background_0008_time_stretch_3.wav,background
114,background_0008_time_stretch_4.wav,background
115,background_0008_time_stretch_5.wav,background
116,background_0008_time_stretch_6.wav,background
117,background_0008_time_stretch_7.wav,background
118,background_0008_time_stretch_8.wav,background
119,background_0008_time_stretch_9.wav,background
120,background_0009.wav,background
121,background_0009_time_stretch_0.wav,background
122,background_0009_time_stretch_1.wav,background
123,background_0009_time_stretch_10.wav,background
124,background_0009_time_stretch_11.wav,background
125,background_0009_time_stretch_12.wav,background
126,background_0009_time_stretch_13.wav,background
127,background_0009_time_stretch_2.wav,background
128,background_0009_time_stretch_3.wav,background
129,background_0009_time_stretch_4.wav,background
130,background_0009_time_stretch_5.wav,background
131,background_0009_time_stretch_6.wav,background
132,background_0009_time_stretch_7.wav,background
133,background_0009_time_stretch_8.wav,background
134,background_0009_time_stretch_9.wav,background
135,background_0010.wav,background
136,background_0010_time_stretch_0.wav,background
137,background_0010_time_stretch_1.wav,background
138,background_0010_time_stretch_10.wav,background
139,background_0010_time_stretch_11.wav,background
140,background_0010_time_stretch_12.wav,background
141,background_0010_time_stretch_13.wav,background
142,background_0010_time_stretch_2.wav,background
143,background_0010_time_stretch_3.wav,background
144,background_0010_time_stretch_4.wav,background
145,background_0010_time_stretch_5.wav,background
146,background_0010_time_stretch_6.wav,background
147,background_0010_time_stretch_7.wav,background
148,background_0010_time_stretch_8.wav,background
149,background_0010_time_stretch_9.wav,background
150,background_0011.wav,background
151,background_0011_time_stretch_0.wav,background
152,background_0011_time_stretch_1.wav,background
153,background_0011_time_stretch_10.wav,background
154,background_0011_time_stretch_11.wav,background
155,background_0011_time_stretch_12.wav,background
156,background_0011_time_stretch_13.wav,background
157,background_0011_time_stretch_2.wav,background
158,background_0011_time_stretch_3.wav,background
159,background_0011_time_stretch_4.wav,background
160,background_0011_time_stretch_5.wav,background
161,background_0011_time_stretch_6.wav,background
162,background_0011_time_stretch_7.wav,background
163,background_0011_time_stretch_8.wav,background
164,background_0011_time_stretch_9.wav,background
165,background_0012.wav,background
166,background_0012_time_stretch_0.wav,background
167,background_0012_time_stretch_1.wav,background
168,background_0012_time_stretch_10.wav,background
169,background_0012_time_stretch_11.wav,background
170,background_0012_time_stretch_12.wav,background
171,background_0012_time_stretch_13.wav,background
172,background_0012_time_stretch_2.wav,background
173,background_0012_time_stretch_3.wav,background
174,background_0012_time_stretch_4.wav,background
175,background_0012_time_stretch_5.wav,background
176,background_0012_time_stretch_6.wav,background
177,background_0012_time_stretch_7.wav,background
178,background_0012_time_stretch_8.wav,background
179,background_0012_time_stretch_9.wav,background
180,background_0013.wav,background
181,background_0013_time_stretch_0.wav,background
182,background_0013_time_stretch_1.wav,background
183,background_0013_time_stretch_10.wav,background
184,background_0013_time_stretch_11.wav,background
185,background_0013_time_stretch_12.wav,background
186,background_0013_time_stretch_13.wav,background
187,background_0013_time_stretch_2.wav,background
188,background_0013_time_stretch_3.wav,background
189,background_0013_time_stretch_4.wav,background
190,background_0013_time_stretch_5.wav,background
191,background_0013_time_stretch_6.wav,background
192,background_0013_time_stretch_7.wav,background
193,background_0013_time_stretch_8.wav,background
194,background_0013_time_stretch_9.wav,background
195,background_0014.wav,background
196,background_0014_time_stretch_0.wav,background
197,background_0014_time_stretch_1.wav,background
198,background_0014_time_stretch_10.wav,background
199,background_0014_time_stretch_11.wav,background
200,background_0014_time_stretch_12.wav,background
201,background_0014_time_stretch_13.wav,background
202,background_0014_time_stretch_2.wav,background
203,background_0014_time_stretch_3.wav,background
204,background_0014_time_stretch_4.wav,background
205,background_0014_time_stretch_5.wav,background
206,background_0014_time_stretch_6.wav,background
207,background_0014_time_stretch_7.wav,background
208,background_0014_time_stretch_8.wav,background
209,background_0014_time_stretch_9.wav,background
210,background_0015.wav,background
211,background_0015_time_stretch_0.wav,background
212,background_0015_time_stretch_1.wav,background
213,background_0015_time_stretch_10.wav,background
214,background_0015_time_stretch_11.wav,background
215,background_0015_time_stretch_12.wav,background
216,background_0015_time_stretch_13.wav,background
217,background_0015_time_stretch_2.wav,background
